slug,url,item_date,item_type,title,topics,is_rural,reduced_sha256,full_page_sha256,full_page_bytes,first_indexed
calendar-year-cy-2026-end-stage-renal-disease-esrd-prospective-payment-system-final-rule,https://www.cms.gov/newsroom/fact-sheets/calendar-year-cy-2026-end-stage-renal-disease-esrd-prospective-payment-system-final-rule,2025-11-20,Fact Sheets,Calendar Year (CY) 2026 End-Stage Renal Disease (ESRD) Prospective Payment System Final Rule,Administration,FALSE,,3ac8ee2c45d861c1aace8933572c0afe78d75a445bf091626d8f6acf39a96f1a,60054,2026-08-28
2026-medicare-parts-b-premiums-deductibles,https://www.cms.gov/newsroom/fact-sheets/2026-medicare-parts-b-premiums-deductibles,2025-11-14,Fact Sheets,2026 Medicare Parts A & B Premiums and Deductibles,Administration,FALSE,,8f37d5181533b8c911060406feeaa6ddcff12cbd938e5ff0f4251ec19fa3aeb1,67141,2026-08-28
cms-issues-guidance-strengthen-oversight-medicaid-financing,https://www.cms.gov/newsroom/press-releases/cms-issues-guidance-strengthen-oversight-medicaid-financing,2025-11-14,Press Releases,CMS Issues Guidance to Strengthen Oversight of Medicaid Financing,Administration,FALSE,,390ddbab94392986d4e68655b40bea21c1784e7e11cede8a347c469cdb327adf,55613,2026-08-28
cms-announces-new-drug-payment-model-strengthen-medicaid-better-serve-vulnerable-americans,https://www.cms.gov/newsroom/press-releases/cms-announces-new-drug-payment-model-strengthen-medicaid-better-serve-vulnerable-americans,2025-11-06,Press Releases,CMS Announces New Drug Payment Model to Strengthen Medicaid and Better Serve Vulnerable Americans,Administration,FALSE,,ed6a72c65d833c6bbd32572522f2a2cad50a44250fa58545fa8f735112a4ec3f,53991,2026-08-28
all-50-states-seek-transform-rural-health-cms,https://www.cms.gov/newsroom/press-releases/all-50-states-seek-transform-rural-health-cms,2025-11-05,Press Releases,All 50 States Seek to Transform Rural Health with CMS,Rural health,TRUE,02365a546793de47bc4610097e89f19a3031b7e672ccf62578b9f28b3b511d1c,2791051ac216c12b645c34e636afefdef8f174ef80aec762e69d177cc0c612ae,55229,2026-08-28
calendar-year-cy-2026-medicare-physician-fee-schedule-final-rule-cms-1832-f,https://www.cms.gov/newsroom/fact-sheets/calendar-year-cy-2026-medicare-physician-fee-schedule-final-rule-cms-1832-f,2025-10-31,Fact Sheets,Calendar Year (CY) 2026 Medicare Physician Fee Schedule Final Rule (CMS-1832-F),Administration,FALSE,,1b86c8abdc0ecab7cd8085240c7d1b9d8b6e1503b975eb6ea03e50a4b9e1e51a,76710,2026-08-28
calendar-year-cy-2026-medicare-physician-fee-schedule-final-rule-cms-1832-f-medicare-shared-savings,https://www.cms.gov/newsroom/fact-sheets/calendar-year-cy-2026-medicare-physician-fee-schedule-final-rule-cms-1832-f-medicare-shared-savings,2025-10-31,Fact Sheets,Calendar Year (CY) 2026 Medicare Physician Fee Schedule Final Rule (CMS-1832-F) Medicare Shared Savings Program Changes,Administration,FALSE,,fc4deff06ba0bad0f26213f953fb2ec17fbe460ecf22958b35bddf4fa2d8b000,73664,2026-08-28
cms-modernizes-payment-accuracy-significantly-cuts-spending-waste,https://www.cms.gov/newsroom/press-releases/cms-modernizes-payment-accuracy-significantly-cuts-spending-waste,2025-10-31,Press Releases,CMS Modernizes Payment Accuracy and Significantly Cuts Spending Waste,Administration,FALSE,,1f6e4ae89fcce28c5eca7dd6659cb888a536d11049ecb34bfda0397158c20ac9,58973,2026-08-28
plan-year-2026-marketplace-plans-prices-fact-sheet,https://www.cms.gov/newsroom/fact-sheets/plan-year-2026-marketplace-plans-prices-fact-sheet,2025-10-30,Fact Sheets,Plan Year 2026 Marketplace Plans and Prices Fact Sheet,Administration,FALSE,,ff87202a6c192ae8e7aed4210efb7bcb694df5b7b5274f8cfbe1327678d22d63,51961,2026-08-28
cms-releases-final-guidance-initial-price-applicability-year-2028,https://www.cms.gov/newsroom/press-releases/cms-releases-final-guidance-initial-price-applicability-year-2028,2025-09-30,Press Releases,CMS Releases Final Guidance for Initial Price Applicability Year 2028,Administration; Drug Prices,FALSE,,590de136f1b02a3aac295d7f5ffed8ae7edecbceb96e3e972fbee35061950a2c,57175,2026-08-28
medicare-advantage-medicare-prescription-drug-programs-expected-remain-stable-2026,https://www.cms.gov/newsroom/press-releases/medicare-advantage-medicare-prescription-drug-programs-expected-remain-stable-2026,2025-09-26,Press Releases,Medicare Advantage and Medicare Prescription Drug Programs Expected to Remain Stable in 2026,Administration,FALSE,,491c2a224ad54a2eb1cedb09b617747130b779613e3b4887a8686b6bc06d316e,58650,2026-08-28
cms-launches-landmark-50-billion-rural-health-transformation-program,https://www.cms.gov/newsroom/press-releases/cms-launches-landmark-50-billion-rural-health-transformation-program,2025-09-15,Press Releases,CMS Launches Landmark $50 Billion Rural Health Transformation Program,Rural health,TRUE,e89d3c009ec15ac90ab533da1d5379f2d06a2b3f1115a60100963e8fc037b5c2,9e4af96ed3e7518f00b8f56684ce813f53c7f1244f110e72689d7c34c7ce7f47,55046,2026-08-28
cms-issues-guidance-strengthen-oversight-medicaid-state-directed-payments,https://www.cms.gov/newsroom/press-releases/cms-issues-guidance-strengthen-oversight-medicaid-state-directed-payments,2025-09-09,Press Releases,CMS Issues Guidance to Strengthen Oversight of Medicaid State Directed Payments,"Administration; Fraud, waste, & abuse; Medicaid & CHIP",FALSE,,da3c89db3847d0963f7b5428f78af4336d2a89cbecc19818e9119c267d7a5ef4,54499,2026-08-28
expanding-access-health-insurance-consumers-gain-access-catastrophic-health-insurance-plans-2026,https://www.cms.gov/newsroom/fact-sheets/expanding-access-health-insurance-consumers-gain-access-catastrophic-health-insurance-plans-2026,2025-09-04,Fact Sheets,Expanding Access to Health Insurance: Consumers to Gain Access to “Catastrophic” Health Insurance Plans in 2026 Plan Year,Marketplace,FALSE,,9e5430d38ee67e614e41ab891ed3bc8815ef300781d3eb3bd0115962669511d4,54121,2026-08-28
hhs-expands-access-affordable-health-insurance,https://www.cms.gov/newsroom/press-releases/hhs-expands-access-affordable-health-insurance,2025-09-04,Press Releases,HHS Expands Access to Affordable Health Insurance,Marketplace,FALSE,,f0f358867b77578f060eed407ee7d6f54fd0ffe8206197fb9213e9441d8ac91a,55979,2026-08-28
